ID;Name;Longitude_WGS84;Latitude_WGS84;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;OperatingOrgName;EntryState;global_id;PlaceDescription;Works;geodata_center;geoarea
Локальный идентификатор;Наименование;Долгота в WGS-84;Широта в WGS-84;Административный округ;Район;Маршруты;Название остановки;Направление;Наличие павильона;Балансодержатель павильона ожидания (пилона, табло, АПБ);Состояние записи;global_id;Описание места расположения объекта;Работы;geodata_center;geoarea
1000223;«Кировоградские пруды», Чертановская улица (в центр) (1000223);37.59046363;55.60591815;Южный административный округ;район Чертаново Центральное;"А938; Ан8; АО16";Кировоградские пруды;в центр;да;ГУП «Мосгортранс»;активна;889142325;Чертановская ул., д.45, к.2;;"{""coordinates"":[37.59046363,55.60591815],""type"":""Point""}";
1000224;«Кировоградские пруды», Чертановская улица (от центра) (1000224);37.58986942;55.60589738;Южный административный округ;район Чертаново Южное;"А938; Ан8; АО16";Кировоградские пруды;от центра;нет;;активна;889142326;Чертановская ул., д.48, к.3;;"{""coordinates"":[37.58986942,55.60589738],""type"":""Point""}";
1000226;«РТС-2», Алабушевская улица (от центра) (1000226);37.16624072;55.99156646;Зеленоградский административный округ;район Силино;АЗ-24;РТС-2;от центра;да;ГУП «Мосгортранс»;активна;889142327;Алабушевская ул., д.2;;;
1000228;«Ул. Конструктора Гуськова», улица Конструктора Гуськова (в центр) (1000228);37.18180337;56.01166003;Зеленоградский административный округ;район Матушкино;АЗ-23;Ул. Конструктора Гуськова;в центр;да;ГУП «Мосгортранс»;активна;889142328;Конструктора Гуськова ул., д.8, стр.8;;;
1000229;«Ул. Ухтомского Ополчения», проспект Защитников Москвы (от центра) (1000229);37.92216843;55.70100419;Юго-Восточный административный округ;район Некрасовка;"А849; А885; А1121; А1182";Ул. Ухтомского Ополчения;от центра;да;ГУП «Мосгортранс»;активна;889142329;просп. Защитников Москвы, д.10;;;
1000230;«Метро «Некрасовка», проспект Защитников Москвы (от центра) (1000230);37.92559263;55.70311391;Юго-Восточный административный округ;район Некрасовка;"А849; А885; А942; А1121; А1182";Метро «Некрасовка»;от центра;да;ГУП «Мосгортранс»;активна;889142330;просп. Защитников Москвы, д.14;;;
1000231;«Дендропарк», Озёрная аллея (от центра) (1000231);37.21588892;55.98542546;Зеленоградский административный округ;район Старое Крюково;АЗ-31;Дендропарк;от центра;да;ГУП «Мосгортранс»;активна;889142332;пр. № 4922, д.4;;;
1000232;«Гор. пруд», Озёрная аллея (от центра) (1000232);37.22048256;55.98433594;Зеленоградский административный округ;район Старое Крюково;АЗ-31;Гор. пруд;от центра;да;ГУП «Мосгортранс»;активна;889142333;пр. № 4922, д.4;;;
1000233;«Озёрная ал.», Озёрная аллея (от центра) (1000233);37.22918258;55.98708036;Зеленоградский административный округ;район Савёлки;"АЗ-10; АЗ-19; АЗ-31";Озёрная ал.;от центра;нет;;активна;889142334;Озёрная ал., д.2А;;;
1000234;«Гор. пруд», Озёрная аллея (в центр) (1000234);37.21949591;55.98469774;Зеленоградский административный округ;район Старое Крюково;АЗ-31;Гор. пруд;в центр;да;ГУП «Мосгортранс»;активна;889142335;пр. № 4922, д.4;;;
1000235;«Дендропарк», Озёрная аллея (в центр) (1000235);37.21529461;55.98562687;Зеленоградский административный округ;район Старое Крюково;АЗ-31;Дендропарк;в центр;да;ГУП «Мосгортранс»;активна;889142336;пр. № 4922, д.4;;;
1000242;«Сокольническая Застава», Сокольническая площадь (от центра) (1000242);37.67950094;55.79193124;Восточный административный округ;район Сокольники;"Тм4л; Тм4п; Тм7; Тм25; Тм46";Сокольническая Застава;от центра;нет;;активна;889142337;Сокольническая пл., д.7;;;
1000243;«Волынская ул., 3», Волынская улица (от центра) (1000243);37.41365166;55.64438957;Западный административный округ;район Солнцево;"А330; А459; А575; А686; А707; А720; А729; А862";Волынская ул., 3;от центра;да;ГУП «Мосгортранс»;активна;889142338;Волынская ул., д.6;;;
1000244;«Волынская ул., 3», Волынская улица (в центр) (1000244);37.41486292;55.64492623;Западный административный округ;район Солнцево;"А330; А459; А575; А707; А720; А729; А862";Волынская ул., 3;в центр;да;ГУП «Мосгортранс»;активна;889142339;Волынская ул., д.5;;;
1000245;«1-й Митинский пер., 12», 1-й Митинский переулок (от центра) (1000245);37.38040822;55.8461581;Северо-Западный административный округ;район Митино;"А267; А777; А959; А1124; Ан12; АС3";1-й Митинский пер., 12;от центра;нет;;активна;889142340;1-й Митинский пер., д.12, к.1;;"{""coordinates"":[37.38040822,55.8461581],""type"":""Point""}";
1000246;«Метро «Печатники», улица Гурьянова (от центра) (1000246);37.72661733;55.69331442;Юго-Восточный административный округ;район Печатники;"А292; А736; Ас790";Метро «Печатники»;от центра;нет;;активна;889142341;;;;
1000247;«Метро «Тимирязевская», улица Яблочкова (от центра) (1000247);37.58122589;55.81829234;Северо-Восточный административный округ;Бутырский район;"А23; АС585";Метро «Тимирязевская»;от центра;нет;;активна;889142342;ул. Яблочкова, д.12;;;
1000248;«Метро «Тимирязевская», улица Фонвизина (в центр) (1000248);37.58165468;55.81964628;Северо-Восточный административный округ;Бутырский район;"А519; А539; АС585";Метро «Тимирязевская»;в центр;нет;;активна;889142343;ул. Яблочкова, д.16;;;
